"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"3285","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Absconditella","Absconditella_lignicola","0","4","2","1","0","0","0","0","2","0","0","109","0","0","0","0","0","0","0","65","1","0","0","0","0","0","1","0","0","0","1","0","0","4","0","1","4","3","0","1","0","2","0","0","75","42","0","0","0","0","1","10","0","0","0","47","0","0","0","0","2","0","0","1","0","2","26","145","0","0","0","0","0","53","0","2","2","1","0","1","0","0","0","0","0","0","0","14","0","1","0","0","2","56","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0"
"3287","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Absconditella","Absconditella_rosea","0","4","56","3","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","63","3","0","0","3","0","4","1","0","0","0","0","0","0","0","6","4","0","0","0","0","1","2","0","0","0","0","0","0","0","0","18","0","320","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3289","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Absconditella","Absconditella_sphagnorum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","58","0","0","24","2","9","0","0","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","2","0","0","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3293","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_gloeocapsa","0","0","0","2","0","1","0","29","137","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","4","38","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","12","15","0","0","0","0","0","49","0","0","33","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3294","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_incolor","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","12"
"3295","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_microstomus","3","1","6","1","2","10","4","1","576","1","70","60","4","1","10","3","1","0","48","3","2","1","2","4","1","1","3","6","24","5","17","1","5","3","5","83","4","1","2","0","5","4","3","0","1","1","3","1","2","2","2","43","6","5","6","23","3","58","1","1","0","1","0","6","6","1","3","1","9","15","0","1","1","7","11","1","33","6","10","2","1","2","41","1","5","1","1","2","2","1","4","3","0","7","0","0","0","0","0","0","2","0","0","0","0","10","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","25","0","0","0","0","0","27","4"
"3296","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_muriformis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","6"
"3298","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_pini","0","0","0","1","0","0","0","0","0","0","2","3","0","2","0","0","0","5","8","0","0","0","560","7","0","0","0","0","0","48","0","0","0","0","40","0","0","0","0","0","1","0","0","1","1","0","0","0","8","0","0","0","0","0","0","0","0","17","0","0","1","0","0","1","3","0","0","0","0","0","0","0","4","8","0","0","0","0","0","3","5","0","161","0","0","0","0","0","0","9","0","0","2","0","0","0","0","1","7","0","0","0","0","0","1","4","0","1","2","1","10","8","0","0","0","33","268","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","7"
"3299","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_sp","0","19","1","12","1","3","3","146","1","18","2","7","2","2","9","1","3","48","6","1","1","11","3","1","42","1","2","1","4","14","9","1","39","2","1","1","3","38","7","1","36","9","1","153","25","1","2","2","5","10","3","1","1","1","2","352","1","11","0","122","2","3","71","2","20","1","6","1","193","2","2","6","1","1","1","1","2","83","163","1","3","7","3","10","9","4","1","1","347","1","1","7","1","22","0","0","0","253","0","0","1","0","0","3","0","0","0","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","2","2","0","1","2","1","0","0","0","0","0","2","1"
"3300","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_tabularum","2","1","45","2","64","67","2","4","13","3","32","1","3","10","3","1","3","1","3","7","2","4","1","4","4","12","1","5","1","11","20","49","0","8","1","1","34","2","2","4","1","2","3","2","9","6","2","2","1","1","1","1","5","1","1","3","1","1","1","5","1","5","1","2","4","13","1","7","30","19","4","2","2","19","6","4","3","4","287","46","33","9","14","16","10","9","1","1","929","86","9","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"3301","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cyanodermella","Cyanodermella_oleoligni","1","3","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","4","0","2","0","444","0","0","0","0","1","0","0","0","112","0","1","0","0","0","0","0","0","0","1","4","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","2","0","26","0","2","0","0","0","1","61","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0"
"3304","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Karstenia","Karstenia_sp","0","0","0","0","0","0","0","0","0","0","0","0","0","1336","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","12","0","71","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","363","0","0","0","0","0","0","0","0","0","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","17","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3305","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Sphaeropezia","Sphaeropezia_leucocheila","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","269","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3307","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Sphaeropezia","Sphaeropezia_sp","2","1","0","22","6","2","46","0","14","1","24","24","3","1","1","1","2","0","2","0","2","0","7","7","1","1","0","2","0","4","41","2","4","3","0","1","0","1","1","1","2","0","0","52","1","58","5","0","0","0","0","0","1","2","3","77","4","0","1","1","1","0","2","1","5","0","12","2","0","6","1","0","4","3","0","3","13","63","47","37","1","0","1","0","1","2","10","2","0","0","50","1","9","0","0","2","0","1","0","0","0","0","15","0","0","0","11","0","50","7","0","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","3","2","0","0","0","6","0","2","0","0","0","0","0","0","0","0","0","0"
"3311","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Stictis","Stictis_sp","0","6","0","1","0","0","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3321","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Pectenia","Pectenia_sp","0","0","1","0","0","0","0","0","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","48","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","51","0","0","0","0","0","0","0","0","0","1"
"3332","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Agyriaceae","Agyrium","Agyrium_sp","2","4","90","2","2","4","1","8","1898","2","1","12","4","132","0","4","0","2","1","0","1","4","1","1","1","7","2","2","68","16","1","1","1","1","1","10","0","3","3","27","1","3","2","28","2","9","1","1","5","1","1","6","4","1","3","2","3","2","110","36","8","1","1","3","2","5","102","1","4","72","5","1","4","6","1","483","2","1","7","2","7","2","7","14","3","1","46","2","1","1","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3345","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia_cinerea","0","2","0","0","0","0","37","1","12","0","0","43","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","1","0","0","0","0","0","0","0","0","31","0","0","0","0","120","43","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","38","0","2","1682","1","0","0","0","17","0","9","0","0","82","0","0","1","0","0","74","0","0","0","1","1","0","30","0","0","16","0","0","0","0","54","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","194","0","0","0","8522","3","0","8","0","0","0","0","0","0","0","0","0"
"3346","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia_coronata","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","18","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","2","172","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","23","3","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","352","2","0","0","0","0","0","0","0","0","0","0","0"
"3351","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia_granulosa","0","0","0","0","2","0","0","0","32","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","5","11","0","0","0","0","0","0","0","0","0"
"3353","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia_laevata","0","0","0","20","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3358","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia_sp","31","1","1","9","1","66","1","2","5","1","1","1","3","89","34","1","0","2","1","1","9","11","2","3","1","1","1","1","5","1","35","1","2","27","1","56","2","1","3","2","5","1","2","13","1","1","1","4","1","0","8","54","1","2","6","3","1","10","1","5","603","1","2","76","7","17","2","2424","58","1","1","1","5","4","849","117","15","1","12","2","1","1","25","179","71","3","2","1","1","6","34","7","1","9","0","0","11","16","895","0","0","0","3","1","2","0","1","0","0","1","0","1","2","0","0","0","2","0","0","0","0","0","0","12","0","0","4","4","40","0","2","0","1","18","1","192","1","0","0","0","0","3","0","6","1"
"3364","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia_verrucigera","0","1","0","0","1","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","5","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18397","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3369","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Circinaria","Circinaria_calcarea","1","1","1018","1","3","4","0","4","1","1","6","1","0","2","2","0","0","0","0","0","0","2","0","0","0","1","0","0","0","3","2","0","2","1","1","0","0","2","0","9","0","0","0","1","5","59","0","0","0","0","0","6","0","0","0","3","0","0","7","132","0","0","0","4","0","0","11","4","0","0","0","5","2","1","1","271","0","1","177","4","182","0","0","0","4","0","2","1","0","2","0","0","0","0","0","0","0","25","1","0","2","0","1","1","0","0","0","0","0","1","24","6","1","0","309","1","0","0","0","0","0","0","0","0","0","0","0","3","486","1","0","0","1","0","0","2414","1","0","0","0","0","1","0","0","2"
"3371","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Circinaria","Circinaria_contorta","0","1","0","6","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","2","0","0","0","0","0","0","17","3","1","0","0","45","0","0","4","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3379","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Circinaria","Circinaria_sp","1","1","0","23","0","42","0","0","27","1","1","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","3","0","0","0","0","0","5","3","70","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","1","4","0","4","0","0","73","0","6","264","0","2","0","0","0","0","0","39","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","193","3","0","0","0","0","0","0","0","0","0","0"
"3380","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Lobothallia","Lobothallia_alphoplaca","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3386","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Lobothallia","Lobothallia_sp","0","1","0","0","0","0","0","0","4","0","0","28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","6","0","0","0","0","0","1","0","0","0"
